# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	662
panel_id	native_connector	known_member	related_member	arbitrary_a	arbitrary_b	provenance	known_space_tokens	related_space_tokens	arbitrary_a_space_tokens	arbitrary_b_space_tokens	selection_rule	case_id	branch	seed_id	variant	carrier_id	string	n_tok	pre_second_body_tokens	second_realised_tokens	completion_pos	tokens	token_ids
												REPEAT_CONNECTOR__AFTER_DAY__BY__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	THE_PHRASE	the phrase day by day	5	4	1	5	["the", " phrase", " day", " by", " day"]	[1169, 9546, 1110, 416, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	THE_PHRASE	the phrase day after day	5	4	1	5	["the", " phrase", " day", " after", " day"]	[1169, 9546, 1110, 706, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AND__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	AND	THEY_SAID	they said day and day	5	4	1	5	["they", " said", " day", " and", " day"]	[9930, 531, 1110, 290, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__OR__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	OR	THEY_SAID	they said day or day	5	4	1	5	["they", " said", " day", " or", " day"]	[9930, 531, 1110, 393, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__TO__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	TO	THEY_SAID	they said day to day	5	4	1	5	["they", " said", " day", " to", " day"]	[9930, 531, 1110, 284, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__BY__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	THEY_SAID	they said day by day	5	4	1	5	["they", " said", " day", " by", " day"]	[9930, 531, 1110, 416, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	THEY_SAID	they said day after day	5	4	1	5	["they", " said", " day", " after", " day"]	[9930, 531, 1110, 706, 1110]
												FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	BARE	mile after mile	3	2	1	3	["mile", " after", " mile"]	[18085, 706, 10591]
												FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	BARE	mile after road	3	2	1	3	["mile", " after", " road"]	[18085, 706, 2975]
												FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	BARE	mile after basket	3	2	1	3	["mile", " after", " basket"]	[18085, 706, 7988]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	BARE	candle after mile	4	3	1	4	["cand", "le", " after", " mile"]	[46188, 293, 706, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	BARE	candle after candle	4	3	1	4	["cand", "le", " after", " candle"]	[46188, 293, 706, 26839]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	BARE	candle after basket	4	3	1	4	["cand", "le", " after", " basket"]	[46188, 293, 706, 7988]
												FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	BARE	mile mile	2	1	1	2	["mile", " mile"]	[18085, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	BARE	candle candle	3	2	1	3	["cand", "le", " candle"]	[46188, 293, 26839]
												FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	V9_SPACE	 mile after mile	3	2	1	3	[" mile", " after", " mile"]	[10591, 706, 10591]
												FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	V9_SPACE	 mile after road	3	2	1	3	[" mile", " after", " road"]	[10591, 706, 2975]
												FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	V9_SPACE	 mile after basket	3	2	1	3	[" mile", " after", " basket"]	[10591, 706, 7988]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	V9_SPACE	 candle after mile	3	2	1	3	[" candle", " after", " mile"]	[26839, 706, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	V9_SPACE	 candle after candle	3	2	1	3	[" candle", " after", " candle"]	[26839, 706, 26839]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	V9_SPACE	 candle after basket	3	2	1	3	[" candle", " after", " basket"]	[26839, 706, 7988]
												FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	V9_SPACE	 mile mile	2	1	1	2	[" mile", " mile"]	[10591, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 candle candle	2	1	1	2	[" candle", " candle"]	[26839, 26839]
												FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	THE_PHRASE	the phrase mile after mile	5	4	1	5	["the", " phrase", " mile", " after", " mile"]	[1169, 9546, 10591, 706, 10591]
												FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	THE_PHRASE	the phrase mile after road	5	4	1	5	["the", " phrase", " mile", " after", " road"]	[1169, 9546, 10591, 706, 2975]
												FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	THE_PHRASE	the phrase mile after basket	5	4	1	5	["the", " phrase", " mile", " after", " basket"]	[1169, 9546, 10591, 706, 7988]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	THE_PHRASE	the phrase candle after mile	5	4	1	5	["the", " phrase", " candle", " after", " mile"]	[1169, 9546, 26839, 706, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	THE_PHRASE	the phrase candle after candle	5	4	1	5	["the", " phrase", " candle", " after", " candle"]	[1169, 9546, 26839, 706, 26839]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	THE_PHRASE	the phrase candle after basket	5	4	1	5	["the", " phrase", " candle", " after", " basket"]	[1169, 9546, 26839, 706, 7988]
												FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase mile mile	4	3	1	4	["the", " phrase", " mile", " mile"]	[1169, 9546, 10591, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase candle candle	4	3	1	4	["the", " phrase", " candle", " candle"]	[1169, 9546, 26839, 26839]
												FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	THEY_SAID	they said mile after mile	5	4	1	5	["they", " said", " mile", " after", " mile"]	[9930, 531, 10591, 706, 10591]
												FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	THEY_SAID	they said mile after road	5	4	1	5	["they", " said", " mile", " after", " road"]	[9930, 531, 10591, 706, 2975]
												FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	THEY_SAID	they said mile after basket	5	4	1	5	["they", " said", " mile", " after", " basket"]	[9930, 531, 10591, 706, 7988]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	THEY_SAID	they said candle after mile	5	4	1	5	["they", " said", " candle", " after", " mile"]	[9930, 531, 26839, 706, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	THEY_SAID	they said candle after candle	5	4	1	5	["they", " said", " candle", " after", " candle"]	[9930, 531, 26839, 706, 26839]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	THEY_SAID	they said candle after basket	5	4	1	5	["they", " said", " candle", " after", " basket"]	[9930, 531, 26839, 706, 7988]
												FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	THEY_SAID	they said mile mile	4	3	1	4	["they", " said", " mile", " mile"]	[9930, 531, 10591, 10591]
												FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said candle candle	4	3	1	4	["they", " said", " candle", " candle"]	[9930, 531, 26839, 26839]
												REPEAT_CONNECTOR__AFTER_MILE__AND__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	BARE	mile and mile	3	2	1	3	["mile", " and", " mile"]	[18085, 290, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__OR__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	BARE	mile or mile	3	2	1	3	["mile", " or", " mile"]	[18085, 393, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__TO__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	BARE	mile to mile	3	2	1	3	["mile", " to", " mile"]	[18085, 284, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__BY__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	BY	BARE	mile by mile	3	2	1	3	["mile", " by", " mile"]	[18085, 416, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AFTER__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AFTER	BARE	mile after mile	3	2	1	3	["mile", " after", " mile"]	[18085, 706, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AND__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	V9_SPACE	 mile and mile	3	2	1	3	[" mile", " and", " mile"]	[10591, 290, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__OR__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	V9_SPACE	 mile or mile	3	2	1	3	[" mile", " or", " mile"]	[10591, 393, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__TO__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	V9_SPACE	 mile to mile	3	2	1	3	[" mile", " to", " mile"]	[10591, 284, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__BY__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	BY	V9_SPACE	 mile by mile	3	2	1	3	[" mile", " by", " mile"]	[10591, 416, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AFTER	V9_SPACE	 mile after mile	3	2	1	3	[" mile", " after", " mile"]	[10591, 706, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AND__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	THE_PHRASE	the phrase mile and mile	5	4	1	5	["the", " phrase", " mile", " and", " mile"]	[1169, 9546, 10591, 290, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__OR__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	THE_PHRASE	the phrase mile or mile	5	4	1	5	["the", " phrase", " mile", " or", " mile"]	[1169, 9546, 10591, 393, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__TO__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	THE_PHRASE	the phrase mile to mile	5	4	1	5	["the", " phrase", " mile", " to", " mile"]	[1169, 9546, 10591, 284, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__BY__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_MILE	BY	THE_PHRASE	the phrase mile by mile	5	4	1	5	["the", " phrase", " mile", " by", " mile"]	[1169, 9546, 10591, 416, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AFTER	THE_PHRASE	the phrase mile after mile	5	4	1	5	["the", " phrase", " mile", " after", " mile"]	[1169, 9546, 10591, 706, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AND__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	THEY_SAID	they said mile and mile	5	4	1	5	["they", " said", " mile", " and", " mile"]	[9930, 531, 10591, 290, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__OR__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	THEY_SAID	they said mile or mile	5	4	1	5	["they", " said", " mile", " or", " mile"]	[9930, 531, 10591, 393, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__TO__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	THEY_SAID	they said mile to mile	5	4	1	5	["they", " said", " mile", " to", " mile"]	[9930, 531, 10591, 284, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__BY__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_MILE	BY	THEY_SAID	they said mile by mile	5	4	1	5	["they", " said", " mile", " by", " mile"]	[9930, 531, 10591, 416, 10591]
												REPEAT_CONNECTOR__AFTER_MILE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_MILE	AFTER	THEY_SAID	they said mile after mile	5	4	1	5	["they", " said", " mile", " after", " mile"]	[9930, 531, 10591, 706, 10591]
												FRAME_CROSS__BY_ONE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	BY_ONE	KNOWN_REPEAT	BARE	one by one	3	2	1	3	["one", " by", " one"]	[505, 416, 530]
												FRAME_CROSS__BY_ONE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	BY_ONE	KNOWN_RELATED	BARE	one by two	3	2	1	3	["one", " by", " two"]	[505, 416, 734]
												FRAME_CROSS__BY_ONE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	BY_ONE	KNOWN_ARBITRARY	BARE	one by ocean	3	2	1	3	["one", " by", " ocean"]	[505, 416, 9151]
												FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_KNOWN	BARE	velvet by one	4	3	1	4	["vel", "vet", " by", " one"]	[626, 16809, 416, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_REPEAT	BARE	velvet by velvet	4	3	1	4	["vel", "vet", " by", " velvet"]	[626, 16809, 416, 47750]
												FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_DISTINCT	BARE	velvet by ocean	4	3	1	4	["vel", "vet", " by", " ocean"]	[626, 16809, 416, 9151]
												FRAME_CROSS__BY_ONE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	BY_ONE	KNOWN_NO_CONNECTOR	BARE	one one	2	1	1	2	["one", " one"]	[505, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_NO_CONNECTOR	BARE	velvet velvet	3	2	1	3	["vel", "vet", " velvet"]	[626, 16809, 47750]
												FRAME_CROSS__BY_ONE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	KNOWN_REPEAT	V9_SPACE	 one by one	3	2	1	3	[" one", " by", " one"]	[530, 416, 530]
												FRAME_CROSS__BY_ONE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	KNOWN_RELATED	V9_SPACE	 one by two	3	2	1	3	[" one", " by", " two"]	[530, 416, 734]
												FRAME_CROSS__BY_ONE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	KNOWN_ARBITRARY	V9_SPACE	 one by ocean	3	2	1	3	[" one", " by", " ocean"]	[530, 416, 9151]
												FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_KNOWN	V9_SPACE	 velvet by one	3	2	1	3	[" velvet", " by", " one"]	[47750, 416, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_REPEAT	V9_SPACE	 velvet by velvet	3	2	1	3	[" velvet", " by", " velvet"]	[47750, 416, 47750]
												FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_DISTINCT	V9_SPACE	 velvet by ocean	3	2	1	3	[" velvet", " by", " ocean"]	[47750, 416, 9151]
												FRAME_CROSS__BY_ONE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	KNOWN_NO_CONNECTOR	V9_SPACE	 one one	2	1	1	2	[" one", " one"]	[530, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 velvet velvet	2	1	1	2	[" velvet", " velvet"]	[47750, 47750]
												FRAME_CROSS__BY_ONE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	KNOWN_REPEAT	THE_PHRASE	the phrase one by one	5	4	1	5	["the", " phrase", " one", " by", " one"]	[1169, 9546, 530, 416, 530]
												FRAME_CROSS__BY_ONE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	KNOWN_RELATED	THE_PHRASE	the phrase one by two	5	4	1	5	["the", " phrase", " one", " by", " two"]	[1169, 9546, 530, 416, 734]
												FRAME_CROSS__BY_ONE__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	KNOWN_ARBITRARY	THE_PHRASE	the phrase one by ocean	5	4	1	5	["the", " phrase", " one", " by", " ocean"]	[1169, 9546, 530, 416, 9151]
												FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_KNOWN	THE_PHRASE	the phrase velvet by one	5	4	1	5	["the", " phrase", " velvet", " by", " one"]	[1169, 9546, 47750, 416, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_REPEAT	THE_PHRASE	the phrase velvet by velvet	5	4	1	5	["the", " phrase", " velvet", " by", " velvet"]	[1169, 9546, 47750, 416, 47750]
												FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_DISTINCT	THE_PHRASE	the phrase velvet by ocean	5	4	1	5	["the", " phrase", " velvet", " by", " ocean"]	[1169, 9546, 47750, 416, 9151]
												FRAME_CROSS__BY_ONE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase one one	4	3	1	4	["the", " phrase", " one", " one"]	[1169, 9546, 530, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase velvet velvet	4	3	1	4	["the", " phrase", " velvet", " velvet"]	[1169, 9546, 47750, 47750]
												FRAME_CROSS__BY_ONE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	KNOWN_REPEAT	THEY_SAID	they said one by one	5	4	1	5	["they", " said", " one", " by", " one"]	[9930, 531, 530, 416, 530]
												FRAME_CROSS__BY_ONE__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	KNOWN_RELATED	THEY_SAID	they said one by two	5	4	1	5	["they", " said", " one", " by", " two"]	[9930, 531, 530, 416, 734]
												FRAME_CROSS__BY_ONE__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	KNOWN_ARBITRARY	THEY_SAID	they said one by ocean	5	4	1	5	["they", " said", " one", " by", " ocean"]	[9930, 531, 530, 416, 9151]
												FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_KNOWN	THEY_SAID	they said velvet by one	5	4	1	5	["they", " said", " velvet", " by", " one"]	[9930, 531, 47750, 416, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_REPEAT	THEY_SAID	they said velvet by velvet	5	4	1	5	["they", " said", " velvet", " by", " velvet"]	[9930, 531, 47750, 416, 47750]
												FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_DISTINCT	THEY_SAID	they said velvet by ocean	5	4	1	5	["they", " said", " velvet", " by", " ocean"]	[9930, 531, 47750, 416, 9151]
												FRAME_CROSS__BY_ONE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	KNOWN_NO_CONNECTOR	THEY_SAID	they said one one	4	3	1	4	["they", " said", " one", " one"]	[9930, 531, 530, 530]
												FRAME_CROSS__BY_ONE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	BY_ONE	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said velvet velvet	4	3	1	4	["they", " said", " velvet", " velvet"]	[9930, 531, 47750, 47750]
												REPEAT_CONNECTOR__BY_ONE__AND__BARE__NONE	REPEAT_CONNECTOR	BY_ONE	AND	BARE	one and one	3	2	1	3	["one", " and", " one"]	[505, 290, 530]
												REPEAT_CONNECTOR__BY_ONE__OR__BARE__NONE	REPEAT_CONNECTOR	BY_ONE	OR	BARE	one or one	3	2	1	3	["one", " or", " one"]	[505, 393, 530]
												REPEAT_CONNECTOR__BY_ONE__TO__BARE__NONE	REPEAT_CONNECTOR	BY_ONE	TO	BARE	one to one	3	2	1	3	["one", " to", " one"]	[505, 284, 530]
												REPEAT_CONNECTOR__BY_ONE__BY__BARE__NONE	REPEAT_CONNECTOR	BY_ONE	BY	BARE	one by one	3	2	1	3	["one", " by", " one"]	[505, 416, 530]
												REPEAT_CONNECTOR__BY_ONE__AFTER__BARE__NONE	REPEAT_CONNECTOR	BY_ONE	AFTER	BARE	one after one	3	2	1	3	["one", " after", " one"]	[505, 706, 530]
												REPEAT_CONNECTOR__BY_ONE__AND__V9_SPACE__NONE	REPEAT_CONNECTOR	BY_ONE	AND	V9_SPACE	 one and one	3	2	1	3	[" one", " and", " one"]	[530, 290, 530]
												REPEAT_CONNECTOR__BY_ONE__OR__V9_SPACE__NONE	REPEAT_CONNECTOR	BY_ONE	OR	V9_SPACE	 one or one	3	2	1	3	[" one", " or", " one"]	[530, 393, 530]
												REPEAT_CONNECTOR__BY_ONE__TO__V9_SPACE__NONE	REPEAT_CONNECTOR	BY_ONE	TO	V9_SPACE	 one to one	3	2	1	3	[" one", " to", " one"]	[530, 284, 530]
												REPEAT_CONNECTOR__BY_ONE__BY__V9_SPACE__NONE	REPEAT_CONNECTOR	BY_ONE	BY	V9_SPACE	 one by one	3	2	1	3	[" one", " by", " one"]	[530, 416, 530]
												REPEAT_CONNECTOR__BY_ONE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR	BY_ONE	AFTER	V9_SPACE	 one after one	3	2	1	3	[" one", " after", " one"]	[530, 706, 530]
												REPEAT_CONNECTOR__BY_ONE__AND__THE_PHRASE__NONE	REPEAT_CONNECTOR	BY_ONE	AND	THE_PHRASE	the phrase one and one	5	4	1	5	["the", " phrase", " one", " and", " one"]	[1169, 9546, 530, 290, 530]
												REPEAT_CONNECTOR__BY_ONE__OR__THE_PHRASE__NONE	REPEAT_CONNECTOR	BY_ONE	OR	THE_PHRASE	the phrase one or one	5	4	1	5	["the", " phrase", " one", " or", " one"]	[1169, 9546, 530, 393, 530]
												REPEAT_CONNECTOR__BY_ONE__TO__THE_PHRASE__NONE	REPEAT_CONNECTOR	BY_ONE	TO	THE_PHRASE	the phrase one to one	5	4	1	5	["the", " phrase", " one", " to", " one"]	[1169, 9546, 530, 284, 530]
												REPEAT_CONNECTOR__BY_ONE__BY__THE_PHRASE__NONE	REPEAT_CONNECTOR	BY_ONE	BY	THE_PHRASE	the phrase one by one	5	4	1	5	["the", " phrase", " one", " by", " one"]	[1169, 9546, 530, 416, 530]
												REPEAT_CONNECTOR__BY_ONE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR	BY_ONE	AFTER	THE_PHRASE	the phrase one after one	5	4	1	5	["the", " phrase", " one", " after", " one"]	[1169, 9546, 530, 706, 530]
												REPEAT_CONNECTOR__BY_ONE__AND__THEY_SAID__NONE	REPEAT_CONNECTOR	BY_ONE	AND	THEY_SAID	they said one and one	5	4	1	5	["they", " said", " one", " and", " one"]	[9930, 531, 530, 290, 530]
												REPEAT_CONNECTOR__BY_ONE__OR__THEY_SAID__NONE	REPEAT_CONNECTOR	BY_ONE	OR	THEY_SAID	they said one or one	5	4	1	5	["they", " said", " one", " or", " one"]	[9930, 531, 530, 393, 530]
