# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	522
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	lexical_pair_id
ENDPOINT_CONTROL__HERE_THERE__SECOND_ONLY__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	SECOND_ONLY	THEY_SAID	they said 				there	there	NONE		they said there	3	["they", " said", " there"]	[9930, 531, 612]	2	1	3	 there	-0.03838	-0.047998	-0.009618	170	2.076404	-2.124402	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__HERE_THERE__CONNECTOR_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	CONNECTOR_SECOND	THEY_SAID	they said 			and	there	and there	NONE		they said and there	4	["they", " said", " and", " there"]	[9930, 531, 290, 612]	3	1	4	 there	-0.025332	-0.16359	-0.138257	638	1.929051	-2.09264	-0.000102	0	<BOS>	1953	2.592324	-2.592426	1953	0	2.592324	0.231454	0	FULL_FRAME		
ENDPOINT_CONTROL__HERE_THERE__FIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	FIRST_SECOND	THEY_SAID	they said 		here		there	here there	NONE		they said here there	4	["they", " said", " here", " there"]	[9930, 531, 994, 612]	3	1	4	 there	-0.157885	-0.169882	-0.011997	1242	1.790559	-1.96044	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__HERE_THERE__ARBFIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	ARBFIRST_SECOND	THEY_SAID	they said 		marble		there	marble there	NONE		they said marble there	4	["they", " said", " marble", " there"]	[9930, 531, 30623, 612]	3	1	4	 there	-0.094074	-0.018485	0.075589	1242	2.428451	-2.446936	-0.000102	0	<BOS>	1888	2.584469	-2.584571	1888	0	2.584469	0.156018	0	FULL_FRAME		
ENDPOINT_CONTROL__HERE_THERE__FIRST_REPEAT__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	FIRST_REPEAT	THEY_SAID	they said 		here		here	here here	NONE		they said here here	4	["they", " said", " here", " here"]	[9930, 531, 994, 994]	3	1	4	 here	-0.157885	-0.16998	-0.012095	1790	1.732157	-1.902137	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__HERE_THERE__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	HERE_THERE	REVERSED	THEY_SAID	they said 		there	and	here	there and here	NONE		they said there and here	5	["they", " said", " there", " and", " here"]	[9930, 531, 612, 290, 994]	4	1	5	 here	-0.031503	2.71366	2.745163	2659	2.718209	-0.004549	2.71366	5	 here	2659	2.718209	-0.004549	2659	0	2.718209	0.004549	1	FULL_FRAME		
CORE_FACTORIAL__RIGHT_LEFT__CC__BARE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CC	BARE			right	and	left	right and left	NONE		right and left	3	["right", " and", " left"]	[3506, 290, 1364]	2	1	3	 left	-0.033633	3.454199	3.487832	2659	3.142589	0.31161	3.454199	3	 left	2659	3.142589	0.31161	541	1	3.454199	0.31161	1	CC	canonical first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__CA__BARE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CA	BARE			right	and	violin	right and violin	NONE		right and violin	3	["right", " and", " violin"]	[3506, 290, 38283]	2	1	3	 violin	-0.033633	0.105776	0.13941	1888	2.509179	-2.403402	0.105776	3	 violin	1888	2.727984	-2.622207	1888	0	2.727984	0.367114	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__RIGHT_LEFT__AC__BARE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AC	BARE			garden	and	left	garden and left	NONE		garden and left	4	["g", "arden", " and", " left"]	[70, 5872, 290, 1364]	3	1	4	 left	-0.015332	-0.129714	-0.114382	638	2.317561	-2.447275	-0.000102	0	<BOS>	1888	2.942774	-2.942875	1888	0	2.942774	0.45512	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__AA__BARE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AA	BARE			garden	and	violin	garden and violin	NONE		garden and violin	4	["g", "arden", " and", " violin"]	[70, 5872, 290, 38283]	3	1	4	 violin	-0.015332	0.281623	0.296955	1888	2.201338	-1.919715	0.281623	4	 violin	1888	2.942774	-2.661151	1888	0	2.942774	0.45512	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__RIGHT_LEFT__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FULL_FRAME	BARE			right	and	left	right and left	NONE		right and left	3	["right", " and", " left"]	[3506, 290, 1364]	2	1	3	 left	-0.033633	3.454199	3.487832	2659	3.142589	0.31161	3.454199	3	 left	2659	3.142589	0.31161	541	1	3.454199	0.31161	1	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	SECOND_ONLY	BARE					left	left	NONE		left	1	["left"]	[9464]	0	1	1	left	-0.000102	-0.012606	-0.012504	1888	2.772759	-2.785366	-0.000102	0	<BOS>	1888	2.772759	-2.772861	1888	0	2.772759	0.309089	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	CONNECTOR_SECOND	BARE				and	left	and left	NONE		and left	2	["and", " left"]	[392, 1364]	1	1	2	 left	-0.026548	-0.131345	-0.104797	2052	2.505486	-2.636831	-0.000102	0	<BOS>	2052	2.505486	-2.505588	2052	0	2.505486	0.020103	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_SECOND	BARE			right		left	right left	NONE		right left	2	["right", " left"]	[3506, 1364]	1	1	2	 left	-0.01172	-0.166684	-0.154964	2463	3.40363	-3.570314	-0.000102	0	<BOS>	2463	3.40363	-3.403732	2463	0	3.40363	0.261222	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	ARBFIRST_SECOND	BARE			garden		left	garden left	NONE		garden left	3	["g", "arden", " left"]	[70, 5872, 1364]	2	1	3	 left	-0.160087	-0.008091	0.151996	1888	2.158415	-2.166505	-0.000102	0	<BOS>	1888	2.942774	-2.942875	1888	0	2.942774	0.45512	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_REPEAT	BARE			right		right	right right	NONE		right right	2	["right", " right"]	[3506, 826]	1	1	2	 right	-0.01172	-0.148229	-0.136509	1691	2.666036	-2.814265	-0.000102	0	<BOS>	1888	2.727984	-2.728086	1888	0	2.727984	0.061948	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__REVERSED__BARE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	REVERSED	BARE			left	and	right	left and right	NONE		left and right	3	["left", " and", " right"]	[9464, 290, 826]	2	1	3	 right	-0.054414	4.11948	4.173893	2659	3.101547	1.017932	4.11948	3	 right	2659	3.101547	1.017932	541	1	4.11948	1.017932	1	FULL_FRAME		
CORE_FACTORIAL__RIGHT_LEFT__CC__V9_SPACE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CC	V9_SPACE		 	right	and	left	right and left	NONE		 right and left	3	[" right", " and", " left"]	[826, 290, 1364]	2	1	3	 left	-0.02445	3.856177	3.880627	2659	3.379555	0.476621	3.856177	3	 left	2659	3.379555	0.476621	541	1	3.856177	0.476621	1	CC	canonical first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__CA__V9_SPACE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CA	V9_SPACE		 	right	and	violin	right and violin	NONE		 right and violin	3	[" right", " and", " violin"]	[826, 290, 38283]	2	1	3	 violin	-0.02445	-0.108837	-0.084387	1888	2.556191	-2.665029	-0.000102	0	<BOS>	1888	3.113197	-3.113299	1888	0	3.113197	0.410401	0	CC	canonical first × arbitrary second	
CORE_FACTORIAL__RIGHT_LEFT__AC__V9_SPACE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AC	V9_SPACE		 	garden	and	left	garden and left	NONE		 garden and left	3	[" garden", " and", " left"]	[11376, 290, 1364]	2	1	3	 left	-0.01507	-0.110469	-0.0954	2608	2.419052	-2.529521	-0.000102	0	<BOS>	1888	3.79291	-3.793012	1888	0	3.79291	1.03462	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__AA__V9_SPACE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AA	V9_SPACE		 	garden	and	violin	garden and violin	NONE		 garden and violin	3	[" garden", " and", " violin"]	[11376, 290, 38283]	2	1	3	 violin	-0.01507	0.268801	0.28387	1888	2.222958	-1.954157	0.268801	3	 violin	1888	3.79291	-3.52411	1888	0	3.79291	1.03462	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__RIGHT_LEFT__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FULL_FRAME	V9_SPACE		 	right	and	left	right and left	NONE		 right and left	3	[" right", " and", " left"]	[826, 290, 1364]	2	1	3	 left	-0.02445	3.856177	3.880627	2659	3.379555	0.476621	3.856177	3	 left	2659	3.379555	0.476621	541	1	3.856177	0.476621	1	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	SECOND_ONLY	V9_SPACE		 			left	left	NONE		 left	1	[" left"]	[1364]	0	1	1	 left	-0.000102	-0.042822	-0.04272	1888	3.12407	-3.166892	-0.000102	0	<BOS>	1888	3.12407	-3.124172	1888	0	3.12407	0.7632	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	CONNECTOR_SECOND	V9_SPACE		 		and	left	and left	NONE		 and left	2	[" and", " left"]	[290, 1364]	1	1	2	 left	-0.032673	-0.126231	-0.093557	2052	2.559929	-2.686159	-0.000102	0	<BOS>	1790	2.944627	-2.944729	1790	0	2.944627	0.284401	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_SECOND	V9_SPACE		 	right		left	right left	NONE		 right left	2	[" right", " left"]	[826, 1364]	1	1	2	 left	-0.030492	-0.022054	0.008438	2463	3.44268	-3.464734	-0.000102	0	<BOS>	2463	3.44268	-3.442782	2463	0	3.44268	0.329484	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	ARBFIRST_SECOND	V9_SPACE		 	garden		left	garden left	NONE		 garden left	2	[" garden", " left"]	[11376, 1364]	1	1	2	 left	-0.154299	-0.009861	0.144438	2052	2.651282	-2.661143	-0.000102	0	<BOS>	1888	3.79291	-3.793012	1888	0	3.79291	1.03462	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_REPEAT	V9_SPACE		 	right		right	right right	NONE		 right right	2	[" right", " right"]	[826, 826]	1	1	2	 right	-0.030492	-0.166622	-0.13613	1691	2.674706	-2.841329	-0.000102	0	<BOS>	1888	3.113197	-3.113299	1888	0	3.113197	0.410401	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	REVERSED	V9_SPACE		 	left	and	right	left and right	NONE		 left and right	3	[" left", " and", " right"]	[1364, 290, 826]	2	1	3	 right	-0.026611	3.811975	3.838586	2659	2.828513	0.983461	3.811975	3	 right	1888	3.12407	0.687904	541	1	3.811975	0.687904	1	FULL_FRAME		
CORE_FACTORIAL__RIGHT_LEFT__CC__THE_PHRASE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CC	THE_PHRASE	the phrase 		right	and	left	right and left	NONE		the phrase right and left	5	["the", " phrase", " right", " and", " left"]	[1169, 9546, 826, 290, 1364]	4	1	5	 left	-0.018094	3.803968	3.822062	2659	3.855254	-0.051286	3.803968	5	 left	2659	3.855254	-0.051286	2659	0	3.855254	0.051286	1	CC	canonical first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__CA__THE_PHRASE__NONE	CORE_FACTORIAL	RIGHT_LEFT	CA	THE_PHRASE	the phrase 		right	and	violin	right and violin	NONE		the phrase right and violin	5	["the", " phrase", " right", " and", " violin"]	[1169, 9546, 826, 290, 38283]	4	1	5	 violin	-0.018094	-0.111989	-0.093895	1888	2.441326	-2.553315	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	CC	canonical first × arbitrary second	
CORE_FACTORIAL__RIGHT_LEFT__AC__THE_PHRASE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AC	THE_PHRASE	the phrase 		garden	and	left	garden and left	NONE		the phrase garden and left	5	["the", " phrase", " garden", " and", " left"]	[1169, 9546, 11376, 290, 1364]	4	1	5	 left	-0.006096	-0.092484	-0.086388	2052	2.360032	-2.452516	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__AA__THE_PHRASE__NONE	CORE_FACTORIAL	RIGHT_LEFT	AA	THE_PHRASE	the phrase 		garden	and	violin	garden and violin	NONE		the phrase garden and violin	5	["the", " phrase", " garden", " and", " violin"]	[1169, 9546, 11376, 290, 38283]	4	1	5	 violin	-0.006096	0.060695	0.066791	1790	2.267343	-2.206648	0.060695	5	 violin	2073	3.233148	-3.172453	2073	0	3.233148	0.489397	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__RIGHT_LEFT__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FULL_FRAME	THE_PHRASE	the phrase 		right	and	left	right and left	NONE		the phrase right and left	5	["the", " phrase", " right", " and", " left"]	[1169, 9546, 826, 290, 1364]	4	1	5	 left	-0.018094	3.803968	3.822062	2659	3.855254	-0.051286	3.803968	5	 left	2659	3.855254	-0.051286	2659	0	3.855254	0.051286	1	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__SECOND_ONLY__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	SECOND_ONLY	THE_PHRASE	the phrase 				left	left	NONE		the phrase left	3	["the", " phrase", " left"]	[1169, 9546, 1364]	2	1	3	 left	-0.055584	-0.009114	0.04647	2052	2.270232	-2.279346	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__CONNECTOR_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	CONNECTOR_SECOND	THE_PHRASE	the phrase 			and	left	and left	NONE		the phrase and left	4	["the", " phrase", " and", " left"]	[1169, 9546, 290, 1364]	3	1	4	 left	-0.009063	-0.093315	-0.084252	2052	2.627451	-2.720766	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_SECOND	THE_PHRASE	the phrase 		right		left	right left	NONE		the phrase right left	4	["the", " phrase", " right", " left"]	[1169, 9546, 826, 1364]	3	1	4	 left	-0.004885	-0.169883	-0.164998	259	2.766383	-2.936266	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.466765	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__ARBFIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	ARBFIRST_SECOND	THE_PHRASE	the phrase 		garden		left	garden left	NONE		the phrase garden left	4	["the", " phrase", " garden", " left"]	[1169, 9546, 11376, 1364]	3	1	4	 left	-0.067502	-0.009618	0.057884	2052	2.473609	-2.483227	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_REPEAT__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_REPEAT	THE_PHRASE	the phrase 		right		right	right right	NONE		the phrase right right	4	["the", " phrase", " right", " right"]	[1169, 9546, 826, 826]	3	1	4	 right	-0.004885	-0.021698	-0.016813	1959	1.866172	-1.887869	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__REVERSED__THE_PHRASE__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	REVERSED	THE_PHRASE	the phrase 		left	and	right	left and right	NONE		the phrase left and right	5	["the", " phrase", " left", " and", " right"]	[1169, 9546, 1364, 290, 826]	4	1	5	 right	-0.016875	4.367382	4.384256	2659	3.919606	0.447775	4.367382	5	 right	2659	3.919606	0.447775	541	1	4.367382	0.447775	1	FULL_FRAME		
CORE_FACTORIAL__RIGHT_LEFT__CC__THEY_SAID__NONE	CORE_FACTORIAL	RIGHT_LEFT	CC	THEY_SAID	they said 		right	and	left	right and left	NONE		they said right and left	5	["they", " said", " right", " and", " left"]	[9930, 531, 826, 290, 1364]	4	1	5	 left	-0.012031	3.704689	3.716719	2659	3.790501	-0.085812	3.704689	5	 left	2659	3.790501	-0.085812	2659	0	3.790501	0.085812	1	CC	canonical first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__CA__THEY_SAID__NONE	CORE_FACTORIAL	RIGHT_LEFT	CA	THEY_SAID	they said 		right	and	violin	right and violin	NONE		they said right and violin	5	["they", " said", " right", " and", " violin"]	[9930, 531, 826, 290, 38283]	4	1	5	 violin	-0.012031	-0.169866	-0.157835	1888	2.661702	-2.831568	-0.000102	0	<BOS>	1959	2.998165	-2.998267	1959	0	2.998165	0.336462	0	CC	canonical first × arbitrary second	
CORE_FACTORIAL__RIGHT_LEFT__AC__THEY_SAID__NONE	CORE_FACTORIAL	RIGHT_LEFT	AC	THEY_SAID	they said 		garden	and	left	garden and left	NONE		they said garden and left	5	["they", " said", " garden", " and", " left"]	[9930, 531, 11376, 290, 1364]	4	1	5	 left	-0.015991	-0.111602	-0.095611	638	2.198772	-2.310375	-0.000102	0	<BOS>	1888	2.996946	-2.997048	1888	0	2.996946	0.636076	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__RIGHT_LEFT__AA__THEY_SAID__NONE	CORE_FACTORIAL	RIGHT_LEFT	AA	THEY_SAID	they said 		garden	and	violin	garden and violin	NONE		they said garden and violin	5	["they", " said", " garden", " and", " violin"]	[9930, 531, 11376, 290, 38283]	4	1	5	 violin	-0.015991	0.572824	0.588815	2659	2.139646	-1.566823	0.572824	5	 violin	1888	2.996946	-2.424122	1888	0	2.996946	0.636076	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__RIGHT_LEFT__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FULL_FRAME	THEY_SAID	they said 		right	and	left	right and left	NONE		they said right and left	5	["they", " said", " right", " and", " left"]	[9930, 531, 826, 290, 1364]	4	1	5	 left	-0.012031	3.704689	3.716719	2659	3.790501	-0.085812	3.704689	5	 left	2659	3.790501	-0.085812	2659	0	3.790501	0.085812	1	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__SECOND_ONLY__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	SECOND_ONLY	THEY_SAID	they said 				left	left	NONE		they said left	3	["they", " said", " left"]	[9930, 531, 1364]	2	1	3	 left	-0.03838	-0.029024	0.009355	2052	2.186306	-2.21533	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__CONNECTOR_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	CONNECTOR_SECOND	THEY_SAID	they said 			and	left	and left	NONE		they said and left	4	["they", " said", " and", " left"]	[9930, 531, 290, 1364]	3	1	4	 left	-0.025332	0.174883	0.200215	776	2.224924	-2.050041	0.174883	4	 left	1953	2.592324	-2.417441	1953	0	2.592324	0.231454	1	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_SECOND	THEY_SAID	they said 		right		left	right left	NONE		they said right left	4	["they", " said", " right", " left"]	[9930, 531, 826, 1364]	3	1	4	 left	-0.013553	-0.169991	-0.156438	2463	3.080981	-3.250973	-0.000102	0	<BOS>	2463	3.080981	-3.081083	2463	0	3.080981	0.079365	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__ARBFIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	ARBFIRST_SECOND	THEY_SAID	they said 		garden		left	garden left	NONE		they said garden left	4	["they", " said", " garden", " left"]	[9930, 531, 11376, 1364]	3	1	4	 left	-0.083438	-0.00867	0.074767	2052	2.305712	-2.314382	-0.000102	0	<BOS>	1888	2.996946	-2.997048	1888	0	2.996946	0.636076	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__FIRST_REPEAT__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	FIRST_REPEAT	THEY_SAID	they said 		right		right	right right	NONE		they said right right	4	["they", " said", " right", " right"]	[9930, 531, 826, 826]	3	1	4	 right	-0.013553	-0.045146	-0.031593	1959	2.914665	-2.959811	-0.000102	0	<BOS>	1959	2.998165	-2.998267	1959	0	2.998165	0.637295	0	FULL_FRAME		
ENDPOINT_CONTROL__RIGHT_LEFT__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	RIGHT_LEFT	REVERSED	THEY_SAID	they said 		left	and	right	left and right	NONE		they said left and right	5	["they", " said", " left", " and", " right"]	[9930, 531, 1364, 290, 826]	4	1	5	 right	-0.003656	4.077455	4.081111	2659	4.098732	-0.021276	4.077455	5	 right	2659	4.098732	-0.021276	2659	0	4.098732	0.021276	1	FULL_FRAME		
CORE_FACTORIAL__TRUE_FALSE__CC__BARE__NONE	CORE_FACTORIAL	TRUE_FALSE	CC	BARE			true	or	false	true or false	NONE		true or false	3	["true", " or", " false"]	[7942, 393, 3991]	2	1	3	 false	-0.01409	3.620335	3.634425	2659	3.291609	0.328726	3.620335	3	 false	2659	3.291609	0.328726	541	1	3.620335	0.328726	1	CC	canonical first × canonical second	
CORE_FACTORIAL__TRUE_FALSE__CA__BARE__NONE	CORE_FACTORIAL	TRUE_FALSE	CA	BARE			true	or	basket	true or basket	NONE		true or basket	3	["true", " or", " basket"]	[7942, 393, 7988]	2	1	3	 basket	-0.01409	-0.009193	0.004897	1888	3.13473	-3.143923	-0.000102	0	<BOS>	1888	3.13473	-3.134832	1888	0	3.13473	0.297467	0	CC	canonical first × arbitrary second	
CORE_FACTORIAL__TRUE_FALSE__AC__BARE__NONE	CORE_FACTORIAL	TRUE_FALSE	AC	BARE			candle	or	false	candle or false	NONE		candle or false	4	["cand", "le", " or", " false"]	[46188, 293, 393, 3991]	3	1	4	 false	-0.006758	0.122584	0.129342	1888	2.342865	-2.220281	0.122584	4	 false	1888	3.02891	-2.906326	1888	0	3.02891	0.301881	1	CC	arbitrary first × canonical second	
CORE_FACTORIAL__TRUE_FALSE__AA__BARE__NONE	CORE_FACTORIAL	TRUE_FALSE	AA	BARE			candle	or	basket	candle or basket	NONE		candle or basket	4	["cand", "le", " or", " basket"]	[46188, 293, 393, 7988]	3	1	4	 basket	-0.006758	2.088407	2.095165	2659	2.98191	-0.893502	2.088407	4	 basket	1888	3.02891	-0.940503	1888	0	3.02891	0.047001	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__TRUE_FALSE__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	TRUE_FALSE	FULL_FRAME	BARE			true	or	false	true or false	NONE		true or false	3	["true", " or", " false"]	[7942, 393, 3991]	2	1	3	 false	-0.01409	3.620335	3.634425	2659	3.291609	0.328726	3.620335	3	 false	2659	3.291609	0.328726	541	1	3.620335	0.328726	1	FULL_FRAME		
ENDPOINT_CONTROL__TRUE_FALSE__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	TRUE_FALSE	SECOND_ONLY	BARE					false	false	NONE		false	1	["false"]	[9562]	0	1	1	false	-0.000102	-0.127743	-0.127642	1888	3.372292	-3.500036	-0.000102	0	<BOS>	1888	3.372292	-3.372394	1888	0	3.372292	0.426046	0	FULL_FRAME		
ENDPOINT_CONTROL__TRUE_FALSE__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	TRUE_FALSE	CONNECTOR_SECOND	BARE				or	false	or false	NONE		or false	2	["or", " false"]	[273, 3991]	1	1	2	 false	-0.005705	-0.076591	-0.070886	1888	2.298867	-2.375458	-0.000102	0	<BOS>	1888	2.436592	-2.436694	1888	0	2.436592	0.075722	0	FULL_FRAME		
ENDPOINT_CONTROL__TRUE_FALSE__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	TRUE_FALSE	FIRST_SECOND	BARE			true		false	true false	NONE		true false	2	["true", " false"]	[7942, 3991]	1	1	2	 false	-0.085669	-0.166211	-0.080543	1888	2.090893	-2.257104	-0.000102	0	<BOS>	1888	3.098689	-3.09879	1888	0	3.098689	0.261426	0	FULL_FRAME		
ENDPOINT_CONTROL__TRUE_FALSE__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	TRUE_FALSE	ARBFIRST_SECOND	BARE			candle		false	candle false	NONE		candle false	3	["cand", "le", " false"]	[46188, 293, 3991]	2	1	3	 false	-0.154181	-0.049663	0.104518	1888	2.272056	-2.321718	-0.000102	0	<BOS>	1888	3.02891	-3.029012	1888	0	3.02891	0.301881	0	FULL_FRAME		
