# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	794
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	completion_token_match	second_token_count_match
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THE_PHRASE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THE_PHRASE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__EAST_WEST__FIRST_REPEAT__THE_PHRASE__NONE	the phrase east and west	the phrase east east	0	4	3	1	1	-4.707936	-4.720038	-4.544197	-3.331255	541	2073	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THE_PHRASE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THE_PHRASE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__EAST_WEST__REVERSED__THE_PHRASE__NONE	the phrase east and west	the phrase west and east	1	4	4	1	1	-0.53683	-0.538232	-0.53683	-0.309255	541	2659	1	0	1		
CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	EAST_WEST	THEY_SAID	CC	CA	CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE	CORE_FACTORIAL__EAST_WEST__CA__THEY_SAID__NONE	they said east and west	they said east and pencil	1	4	4	1	1	-4.716771	-4.716772	-4.552161	-3.604259	541	1888	1	0	1		
CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	EAST_WEST	THEY_SAID	CC	AC	CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE	CORE_FACTORIAL__EAST_WEST__AC__THEY_SAID__NONE	they said east and west	they said pocket and west	1	4	4	1	1	-4.665186	-4.675672	-4.552161	-3.020876	541	1888	1	0	1		
CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	EAST_WEST	THEY_SAID	CC	AA	CORE_FACTORIAL__EAST_WEST__CC__THEY_SAID__NONE	CORE_FACTORIAL__EAST_WEST__AA__THEY_SAID__NONE	they said east and west	they said pocket and pencil	1	4	4	1	1	-3.37211	-3.382596	-3.37211	-2.100221	541	2659	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__SECOND_ONLY__THEY_SAID__NONE	they said east and west	they said west	0	4	2	1	1	-4.60427	-4.587581	-4.552161	-2.668272	541	2256	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__CONNECTOR_SECOND__THEY_SAID__NONE	they said east and west	they said and west	0	4	3	1	1	-4.627518	-4.623877	-4.552161	-2.899726	541	1953	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__FIRST_SECOND__THEY_SAID__NONE	they said east and west	they said east west	0	4	3	1	1	-4.572548	-4.552418	-4.552161	-2.668272	541	2256	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__ARBFIRST_SECOND__THEY_SAID__NONE	they said east and west	they said pocket west	0	4	3	1	1	-4.578827	-4.546438	-4.552161	-3.020876	541	1888	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__FIRST_REPEAT__THEY_SAID__NONE	they said east and west	they said east east	0	4	3	1	1	-4.691783	-4.671653	-4.552161	-2.668272	541	2256	1	0	1		
ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	EAST_WEST	THEY_SAID	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__EAST_WEST__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__EAST_WEST__REVERSED__THEY_SAID__NONE	they said east and west	they said west and east	1	4	4	1	1	-0.295924	-0.279708	-0.295924	-0.280392	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	BARE	AND	OR	CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE	CONNECTOR_MATRIX__UP_DOWN__OR__BARE__NONE	up and down	up or down	1	2	2	1	1	-0.252339	-0.275425	-0.252339	-0.629062	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	BARE	AND	TO	CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE	CONNECTOR_MATRIX__UP_DOWN__TO__BARE__NONE	up and down	up to down	1	2	2	1	1	-2.377219	-2.309161	-2.377219	-2.322597	541	62	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	BARE	AND	BY	CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE	CONNECTOR_MATRIX__UP_DOWN__BY__BARE__NONE	up and down	up by down	1	2	2	1	1	-2.295695	-2.223452	-2.295695	-2.304174	541	971	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	BARE	AND	AFTER	CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE	CONNECTOR_MATRIX__UP_DOWN__AFTER__BARE__NONE	up and down	up after down	1	2	2	1	1	-3.203425	-3.103673	-3.203425	-3.057048	541	1790	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	V9_SPACE	AND	OR	CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__UP_DOWN__OR__V9_SPACE__NONE	 up and down	 up or down	1	2	2	1	1	-0.327228	-0.350691	-0.327228	-0.454162	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	V9_SPACE	AND	TO	CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__UP_DOWN__TO__V9_SPACE__NONE	 up and down	 up to down	1	2	2	1	1	-1.683586	-1.636637	-1.683586	-1.683586	541	1790	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	V9_SPACE	AND	BY	CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__UP_DOWN__BY__V9_SPACE__NONE	 up and down	 up by down	1	2	2	1	1	-1.275701	-1.180429	-1.275701	-1.352831	541	971	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	V9_SPACE	AND	AFTER	CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__UP_DOWN__AFTER__V9_SPACE__NONE	 up and down	 up after down	1	2	2	1	1	-2.937057	-2.830203	-2.937057	-2.937057	541	1790	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THE_PHRASE	AND	OR	CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__UP_DOWN__OR__THE_PHRASE__NONE	the phrase up and down	the phrase up or down	1	4	4	1	1	0.112058	0.087376	0.112058	-0.789116	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THE_PHRASE	AND	TO	CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__UP_DOWN__TO__THE_PHRASE__NONE	the phrase up and down	the phrase up to down	1	4	4	1	1	-1.355406	-1.325089	-1.355406	-1.276281	541	2073	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THE_PHRASE	AND	BY	CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__UP_DOWN__BY__THE_PHRASE__NONE	the phrase up and down	the phrase up by down	1	4	4	1	1	-2.718739	-2.684981	-2.718739	-2.639615	541	2073	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THE_PHRASE	AND	AFTER	CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__UP_DOWN__AFTER__THE_PHRASE__NONE	the phrase up and down	the phrase up after down	1	4	4	1	1	-3.876112	-3.812812	-3.876112	-3.796987	541	2073	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THEY_SAID	AND	OR	CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__UP_DOWN__OR__THEY_SAID__NONE	they said up and down	they said up or down	1	4	4	1	1	-0.064185	-0.0962	-0.064185	-0.643534	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THEY_SAID	AND	TO	CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__UP_DOWN__TO__THEY_SAID__NONE	they said up and down	they said up to down	1	4	4	1	1	-1.354065	-1.321003	-1.354065	-0.903347	541	541	1	1	0		
CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THEY_SAID	AND	BY	CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__UP_DOWN__BY__THEY_SAID__NONE	they said up and down	they said up by down	1	4	4	1	1	-2.396581	-2.342145	-2.396581	-1.803715	541	971	1	0	1		
CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	UP_DOWN	THEY_SAID	AND	AFTER	CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__UP_DOWN__AFTER__THEY_SAID__NONE	they said up and down	they said up after down	1	4	4	1	1	-3.06315	-2.977552	-3.06315	-2.435671	541	2256	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	BARE	AND	OR	CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE	CONNECTOR_MATRIX__NOW_THEN__OR__BARE__NONE	now and then	now or then	1	2	2	1	1	0.581992	0.572132	0.581992	0.527633	541	541	1	1	0		
CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	BARE	AND	TO	CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE	CONNECTOR_MATRIX__NOW_THEN__TO__BARE__NONE	now and then	now to then	1	2	2	1	1	-1.394455	-1.387091	-1.394455	-1.394455	541	1888	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	BARE	AND	BY	CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE	CONNECTOR_MATRIX__NOW_THEN__BY__BARE__NONE	now and then	now by then	1	2	2	1	1	-1.136281	-1.060644	-1.136281	-1.892375	541	1997	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	BARE	AND	AFTER	CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE	CONNECTOR_MATRIX__NOW_THEN__AFTER__BARE__NONE	now and then	now after then	1	2	2	1	1	-1.70657	-1.613547	-1.70657	-1.70657	541	1888	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	V9_SPACE	AND	OR	CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__NOW_THEN__OR__V9_SPACE__NONE	 now and then	 now or then	1	2	2	1	1	0.778534	0.774379	0.778534	0.778534	541	541	1	1	0		
CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	V9_SPACE	AND	TO	CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__NOW_THEN__TO__V9_SPACE__NONE	 now and then	 now to then	1	2	2	1	1	-1.822415	-1.809329	-1.822415	-1.822415	541	1888	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	V9_SPACE	AND	BY	CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__NOW_THEN__BY__V9_SPACE__NONE	 now and then	 now by then	1	2	2	1	1	-1.379396	-1.296618	-1.379396	-1.760372	541	1997	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	V9_SPACE	AND	AFTER	CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__NOW_THEN__AFTER__V9_SPACE__NONE	 now and then	 now after then	1	2	2	1	1	-1.858976	-1.772247	-1.858976	-1.858977	541	1888	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THE_PHRASE	AND	OR	CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__NOW_THEN__OR__THE_PHRASE__NONE	the phrase now and then	the phrase now or then	1	4	4	1	1	0.645181	0.635566	0.645181	0.64518	541	541	1	1	0		
CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THE_PHRASE	AND	TO	CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__NOW_THEN__TO__THE_PHRASE__NONE	the phrase now and then	the phrase now to then	1	4	4	1	1	-1.701641	-1.702711	-1.701641	-1.701641	541	2073	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THE_PHRASE	AND	BY	CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__NOW_THEN__BY__THE_PHRASE__NONE	the phrase now and then	the phrase now by then	1	4	4	1	1	-1.99805	-1.952463	-1.99805	-2.179187	541	1997	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THE_PHRASE	AND	AFTER	CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__NOW_THEN__AFTER__THE_PHRASE__NONE	the phrase now and then	the phrase now after then	1	4	4	1	1	-2.88309	-2.835846	-2.88309	-2.88309	541	2073	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THEY_SAID	AND	OR	CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__NOW_THEN__OR__THEY_SAID__NONE	they said now and then	they said now or then	1	4	4	1	1	1.284601	1.266112	1.284601	1.001784	541	541	1	1	0		
CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THEY_SAID	AND	TO	CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__NOW_THEN__TO__THEY_SAID__NONE	they said now and then	they said now to then	1	4	4	1	1	-1.827527	-1.811745	-1.827527	-1.676426	541	711	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THEY_SAID	AND	BY	CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__NOW_THEN__BY__THEY_SAID__NONE	they said now and then	they said now by then	1	4	4	1	1	-2.449611	-2.425868	-2.449611	-3.28179	541	1997	1	0	1		
CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	NOW_THEN	THEY_SAID	AND	AFTER	CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__NOW_THEN__AFTER__THEY_SAID__NONE	they said now and then	they said now after then	1	4	4	1	1	-2.520805	-2.496547	-2.520805	-2.357621	541	2256	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	BARE	AND	OR	CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE	CONNECTOR_MATRIX__HERE_THERE__OR__BARE__NONE	here and there	here or there	1	2	2	1	1	-0.015436	-0.030252	-0.015436	-0.58605	541	541	1	1	0		
CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	BARE	AND	TO	CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE	CONNECTOR_MATRIX__HERE_THERE__TO__BARE__NONE	here and there	here to there	1	2	2	1	1	-3.190277	-3.183619	-3.190277	-3.144046	541	3017	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	BARE	AND	BY	CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE	CONNECTOR_MATRIX__HERE_THERE__BY__BARE__NONE	here and there	here by there	1	2	2	1	1	-2.14149	-2.034236	-2.14149	-2.336812	541	971	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	BARE	AND	AFTER	CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE	CONNECTOR_MATRIX__HERE_THERE__AFTER__BARE__NONE	here and there	here after there	1	2	2	1	1	-3.925671	-3.860752	-3.925671	-3.9802	541	170	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	V9_SPACE	AND	OR	CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__HERE_THERE__OR__V9_SPACE__NONE	 here and there	 here or there	1	2	2	1	1	-0.415078	-0.426934	-0.415078	-0.415078	541	541	1	1	0		
CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	V9_SPACE	AND	TO	CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__HERE_THERE__TO__V9_SPACE__NONE	 here and there	 here to there	1	2	2	1	1	-2.979735	-2.966054	-2.979735	-2.979735	541	464	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	V9_SPACE	AND	BY	CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__HERE_THERE__BY__V9_SPACE__NONE	 here and there	 here by there	1	2	2	1	1	-2.683711	-2.595748	-2.683711	-2.723057	541	971	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	V9_SPACE	AND	AFTER	CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE	CONNECTOR_MATRIX__HERE_THERE__AFTER__V9_SPACE__NONE	 here and there	 here after there	1	2	2	1	1	-3.122539	-3.019643	-3.122539	-3.122539	541	464	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THE_PHRASE	AND	OR	CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__HERE_THERE__OR__THE_PHRASE__NONE	the phrase here and there	the phrase here or there	1	4	4	1	1	-0.624463	-0.628859	-0.624463	-0.624464	541	541	1	1	0		
CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THE_PHRASE	AND	TO	CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__HERE_THERE__TO__THE_PHRASE__NONE	the phrase here and there	the phrase here to there	1	4	4	1	1	-3.234665	-3.233217	-3.234665	-3.234666	541	2073	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THE_PHRASE	AND	BY	CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__HERE_THERE__BY__THE_PHRASE__NONE	the phrase here and there	the phrase here by there	1	4	4	1	1	-3.730111	-3.711754	-3.730111	-3.730112	541	2073	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THE_PHRASE	AND	AFTER	CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX__HERE_THERE__AFTER__THE_PHRASE__NONE	the phrase here and there	the phrase here after there	1	4	4	1	1	-4.173239	-4.149572	-4.150507	-4.150507	541	2073	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THEY_SAID	AND	OR	CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__HERE_THERE__OR__THEY_SAID__NONE	they said here and there	they said here or there	1	4	4	1	1	-0.165814	-0.181601	-0.165814	-0.300563	541	541	1	1	0		
CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE__TO__TO	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THEY_SAID	AND	TO	CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__HERE_THERE__TO__THEY_SAID__NONE	they said here and there	they said here to there	1	4	4	1	1	-2.669025	-2.664418	-2.669025	-2.101325	541	2256	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE__TO__BY	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THEY_SAID	AND	BY	CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__HERE_THERE__BY__THEY_SAID__NONE	they said here and there	they said here by there	1	4	4	1	1	-3.195213	-3.17313	-3.195213	-2.627513	541	2256	1	0	1		
CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE__TO__AFTER	WITHIN_CARRIER	CONNECTOR_MATRIX	HERE_THERE	THEY_SAID	AND	AFTER	CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE	CONNECTOR_MATRIX__HERE_THERE__AFTER__THEY_SAID__NONE	they said here and there	they said here after there	1	4	4	1	1	-3.79615	-3.787359	-3.79615	-3.475317	541	170	1	0	1		
CONNECTOR_MATRIX__RIGHT_LEFT__AND__BARE__NONE__TO__OR	WITHIN_CARRIER	CONNECTOR_MATRIX	RIGHT_LEFT	BARE	AND	OR	CONNECTOR_MATRIX__RIGHT_LEFT__AND__BARE__NONE	CONNECTOR_MATRIX__RIGHT_LEFT__OR__BARE__NONE	right and left	right or left	1	2	2	1	1	0.722079	0.69949	0.722079	0.032093	541	541	1	1	0		
